model,micro_f1,macro_f1,samples_f1,hamming_loss,subset_accuracy,macro_auprc,micro_auprc,threshold_miner,threshold_rust,threshold_phoma
MLP,0.868421052631579,0.8644504253056885,0.6225,0.06666666666666667,0.85,0.9529275261133855,0.9558615255456362,0.41,0.31,0.85
VGAM,0.8586387434554974,0.8533712932754781,0.5875,0.0675,0.84,0.936148188450472,0.9275060008996665,0.44,0.36,0.76
MLP-VGAM Ensemble,0.868421052631579,0.8644504253056885,0.6225,0.06666666666666667,0.85,0.9529275261133855,0.9558615255456362,0.41,0.31,0.85
